Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,host_length,Host,host_taxid,host_tissue_sampled,Instrument,Isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR10499289,AMPLICON,600,34387800,PRJNA590493,SAMN13329224,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",17741666,LABORATORIO DE ECOLOGIA MOLECULAR,2019-01,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",marine benthic biom [ENVO:01000024],seafloor [ENVO:00000482],animal tissue [FOODON:00002671],SRX7188349,uncalculated,uncalculated,Antarctica: Weddel sea,35,Abatus agassizii,1194296,Gut membrane,Illumina MiSeq,na,62.209556 S 58.92900 W,Ant19-Ar-Ab-mem05,PAIRED,PCR,GENOMIC,invertebrate gut metagenome,ILLUMINA,2019-11-27T00:00:00Z,Abatus_agassizii_gutmembrane_Ar05,SRP230689
SRR10499290,AMPLICON,600,15124200,PRJNA590493,SAMN13329223,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",7929040,LABORATORIO DE ECOLOGIA MOLECULAR,2019-01,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",marine benthic biom [ENVO:01000024],seafloor [ENVO:00000482],animal tissue [FOODON:00002671],SRX7188348,uncalculated,uncalculated,Antarctica: Weddel sea,36.5,Abatus agassizii,1194296,Gut membrane,Illumina MiSeq,na,62.209556 S 58.92900 W,Ant19-Ar-Ab-mem04,PAIRED,PCR,GENOMIC,invertebrate gut metagenome,ILLUMINA,2019-11-27T00:00:00Z,Abatus_agassizii_gutmembrane_Ar04,SRP230689
SRR10499291,AMPLICON,600,30560400,PRJNA590493,SAMN13329222,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",15884696,LABORATORIO DE ECOLOGIA MOLECULAR,2019-01,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",marine benthic biom [ENVO:01000024],seafloor [ENVO:00000482],animal tissue [FOODON:00002671],SRX7188347,uncalculated,uncalculated,Antarctica: Weddel sea,36,Abatus agassizii,1194296,Gut membrane,Illumina MiSeq,na,62.209556 S 58.92900 W,Ant19-Ar-Ab-mem03,PAIRED,PCR,GENOMIC,invertebrate gut metagenome,ILLUMINA,2019-11-27T00:00:00Z,Abatus_agassizii_gutmembrane_Ar03,SRP230689
SRR10499292,AMPLICON,600,19878600,PRJNA590493,SAMN13329221,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",10736158,LABORATORIO DE ECOLOGIA MOLECULAR,2019-01,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",marine benthic biom [ENVO:01000024],seafloor [ENVO:00000482],animal tissue [FOODON:00002671],SRX7188346,uncalculated,uncalculated,Antarctica: Weddel sea,"33,1",Abatus agassizii,1194296,Gut content,Illumina MiSeq,na,62.209556 S 58.92900 W,Ant19-Ar-Ab-con16,PAIRED,PCR,GENOMIC,invertebrate gut metagenome,ILLUMINA,2019-11-27T00:00:00Z,Abatus_agassizii_gutcontent_Ar16,SRP230689
SRR10499293,AMPLICON,600,29778600,PRJNA590493,SAMN13329220,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",16064940,LABORATORIO DE ECOLOGIA MOLECULAR,2019-01,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",marine benthic biom [ENVO:01000024],seafloor [ENVO:00000482],animal tissue [FOODON:00002671],SRX7188345,uncalculated,uncalculated,Antarctica: Weddel sea,30,Abatus agassizii,1194296,Gut content,Illumina MiSeq,na,62.209556 S 58.92900 W,Ant19-Ar-Ab-con15,PAIRED,PCR,GENOMIC,invertebrate gut metagenome,ILLUMINA,2019-11-27T00:00:00Z,Abatus_agassizii_gutcontent_Ar15,SRP230689
SRR10499294,AMPLICON,600,8233800,PRJNA590493,SAMN13329219,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",4724421,LABORATORIO DE ECOLOGIA MOLECULAR,2019-01,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",marine benthic biom [ENVO:01000024],seafloor [ENVO:00000482],animal tissue [FOODON:00002671],SRX7188344,uncalculated,uncalculated,Antarctica: Weddel sea,32.5,Abatus agassizii,1194296,Gut content,Illumina MiSeq,na,62.209556 S 58.92900 W,Ant19-Ar-Ab-con11,PAIRED,PCR,GENOMIC,invertebrate gut metagenome,ILLUMINA,2019-11-27T00:00:00Z,Abatus_agassizii_gutcontent_Ar11,SRP230689
SRR10499295,AMPLICON,600,28278600,PRJNA590493,SAMN13329250,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",15004824,LABORATORIO DE ECOLOGIA MOLECULAR,2019-01,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",marine benthic biom [ENVO:01000024],seafloor [ENVO:00000482],shallow marine sediment [ENVO:00000428],SRX7188343,uncalculated,uncalculated,Antarctica: Weddel sea,na,Abatus agassizii,1194296,na,Illumina MiSeq,Host surrounding sediment point e,62.21879 S 58.95786 W,Ant19-Ch-Ab-ext05,PAIRED,PCR,GENOMIC,invertebrate gut metagenome,ILLUMINA,2019-11-27T00:00:00Z,Abatus_agassizii_externalsediment_Ch5,SRP230689
SRR10499296,AMPLICON,600,32292000,PRJNA590493,SAMN13329249,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",17333242,LABORATORIO DE ECOLOGIA MOLECULAR,2019-01,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",marine benthic biom [ENVO:01000024],seafloor [ENVO:00000482],shallow marine sediment [ENVO:00000428],SRX7188342,uncalculated,uncalculated,Antarctica: Weddel sea,na,Abatus agassizii,1194296,na,Illumina MiSeq,Host surrounding sediment point d,62.21879 S 58.95786 W,Ant19-Ch-Ab-ext04,PAIRED,PCR,GENOMIC,invertebrate gut metagenome,ILLUMINA,2019-11-27T00:00:00Z,Abatus_agassizii_externalsediment_Ch4,SRP230689
SRR10499297,AMPLICON,600,19969200,PRJNA590493,SAMN13329248,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",10665649,LABORATORIO DE ECOLOGIA MOLECULAR,2019-01,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",marine benthic biom [ENVO:01000024],seafloor [ENVO:00000482],shallow marine sediment [ENVO:00000428],SRX7188341,uncalculated,uncalculated,Antarctica: Weddel sea,na,Abatus agassizii,1194296,na,Illumina MiSeq,Host surrounding sediment point c,62.21879 S 58.95786 W,Ant19-Ch-Ab-ext03,PAIRED,PCR,GENOMIC,invertebrate gut metagenome,ILLUMINA,2019-11-27T00:00:00Z,Abatus_agassizii_externalsediment_Ch3,SRP230689
SRR10499298,AMPLICON,600,26805600,PRJNA590493,SAMN13329247,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",14346361,LABORATORIO DE ECOLOGIA MOLECULAR,2019-01,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",marine benthic biom [ENVO:01000024],seafloor [ENVO:00000482],shallow marine sediment [ENVO:00000428],SRX7188340,uncalculated,uncalculated,Antarctica: Weddel sea,na,Abatus agassizii,1194296,na,Illumina MiSeq,Host surrounding sediment point b,62.21879 S 58.95786 W,Ant19-Ch-Ab-ext02,PAIRED,PCR,GENOMIC,invertebrate gut metagenome,ILLUMINA,2019-11-27T00:00:00Z,Abatus_agassizii_externalsediment_Ch2,SRP230689
